Point,Latitude,Longitude,Contexte,Période,Saison,NORNSV23,NORNSV24,NORNSV25,NORIFM20,NORIFM40,NORIFM60,NORIS400,NORIS700,NORIS1000
4906,43.9773,-0.0043,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4906,43.9773,-0.0043,RCP4.5,H1,3,20,4,0,19,2,0,25,1,0
4906,43.9773,-0.0043,RCP4.5,H1,4,14,1,-999,4,0,0,33,1,-999
5036,44.0136,-1.3024,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
5036,44.0136,-1.3024,RCP4.5,H1,3,11,5,0,20,2,0,18,1,0
5036,44.0136,-1.3024,RCP4.5,H1,4,6,3,-999,5,0,0,14,1,-999
5037,44.0168,-1.2028,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
5037,44.0168,-1.2028,RCP4.5,H1,3,13,3,0,10,0,0,18,1,0
5037,44.0168,-1.2028,RCP4.5,H1,4,7,1,-999,3,0,0,14,1,-999
5038,44.02,-1.1032,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
5038,44.02,-1.1032,RCP4.5,H1,3,12,3,0,10,0,0,20,1,0
5038,44.02,-1.1032,RCP4.5,H1,4,7,1,-999,3,0,0,21,1,-999
5039,44.0231,-1.0037,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
5039,44.0231,-1.0037,RCP4.5,H1,4,11,1,-999,4,0,0,20,1,-999
5040,44.0261,-0.9041,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
5040,44.0261,-0.9041,RCP4.5,H1,3,15,3,0,16,1,0,20,1,0
5040,44.0261,-0.9041,RCP4.5,H1,4,11,1,-999,4,0,0,23,1,-999
5041,44.0291,-0.8045,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
5041,44.0291,-0.8045,RCP4.5,H1,3,16,3,0,17,1,0,24,1,0
5041,44.0291,-0.8045,RCP4.5,H1,4,11,1,-999,4,0,0,27,3,-999
5042,44.0319,-0.7049,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
5042,44.0319,-0.7049,RCP4.5,H1,3,19,3,0,20,2,0,26,2,0
5042,44.0319,-0.7049,RCP4.5,H1,4,12,2,-999,4,0,0,34,3,-999
5043,44.0346,-0.6052,RCP4.5,H1,2,0,0,-999,4,0,0,0,0,-999
5043,44.0346,-0.6052,RCP4.5,H1,3,20,4,0,23,2,0,25,2,0
5043,44.0346,-0.6052,RCP4.5,H1,4,15,2,-999,6,0,0,36,4,-999
5044,44.0373,-0.5056,RCP4.5,H1,2,0,0,-999,4,0,0,0,0,-999
5044,44.0373,-0.5056,RCP4.5,H1,3,20,4,1,24,2,0,23,1,0
5044,44.0373,-0.5056,RCP4.5,H1,4,13,4,-999,6,0,0,31,2,-999
5045,44.0398,-0.406,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
5045,44.0398,-0.406,RCP4.5,H1,3,20,3,0,22,2,0,24,1,0
5045,44.0398,-0.406,RCP4.5,H1,4,13,2,-999,5,0,0,31,2,-999
5046,44.0423,-0.3063,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
5046,44.0423,-0.3063,RCP4.5,H1,3,20,3,0,22,2,0,23,1,0
5046,44.0423,-0.3063,RCP4.5,H1,4,13,2,-999,5,0,0,29,1,-999
5047,44.0447,-0.2066,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
5047,44.0447,-0.2066,RCP4.5,H1,3,21,3,0,22,2,0,25,1,0
5047,44.0447,-0.2066,RCP4.5,H1,4,13,1,-999,5,0,0,37,2,-999
5048,44.047,-0.107,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
5048,44.047,-0.107,RCP4.5,H1,3,21,4,0,19,2,0,25,1,0
5048,44.047,-0.107,RCP4.5,H1,4,14,2,-999,5,0,0,33,1,-999
5049,44.0491,-0.0073,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
5049,44.0491,-0.0073,RCP4.5,H1,3,20,4,0,19,2,0,26,1,0
